what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423548614909
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1423548614975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423548617586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549281919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549295717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549296546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549300103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549314549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549468444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423549536917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552193722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552199702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552655379
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423552657078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552722490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552895378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423552896227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559850834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559867253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559871516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559873256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559899234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1423559899234
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1423559904579
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1423559904611
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559906389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423559907913
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559907913
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559907932
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559907946
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1423559912251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559915089
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1423559916550
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1423559916581
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1423559916631
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1423559916646
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1423559916725
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1423559916772
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1423559917124
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1423559917156
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1423559917202
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1423559917245
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1423559917249
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1423559917466
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1423559917468
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1423559917564
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1423559917610
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1423559917694
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1423559917747
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1423559917843
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1423559917983
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1423559918435
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1423559918708
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1423559918845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559919111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423559919164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559921220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559929126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1423559929126
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559929255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423559929333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423559961173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559963576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423559968785
